Delivery optimization problem
type;identifier;x;y;demand
depot;Chatenay-Malabry;0;0
client;random client 1;3778.7149755945184;8813.563973740853;79
client;random client 1;9188.43237977987;4058.83656155973;86
client;random client 3;9695.756955701554;9363.981834223803;116
client;random client 4;4827.082949815021;2215.682239937562;101
client;random client 5;5907.69150192419;6004.723017205056;80
client;random client 6;5393.694026044343;6883.520964271443;110
client;random client 7;1155.5343516010453;2715.573540030788;100
client;random client 8;2202.2977968736745;7875.142201107766;89
client;random client 9;1433.7497298650958;1442.2052084295224;89
client;random client 10;2145.0704533327635;9665.006231114345;91
client;random client 11;5785.355831563874;882.5234340027432;110
client;random client 12;8897.821638861638;3099.0847255462295;75
client;random client 13;1174.5044580364129;5750.352391594656;73
client;random client 14;9067.19437396366;4952.490091740567;85
client;random client 15;2663.1768338023267;4109.737472834254;81
client;random client 16;8853.793972845351;4472.37481595299;86
client;random client 17;7082.07491649111;1876.277542410113;104
client;random client 18;4898.1981492820005;69.64900842885702;86
client;random client 19;980.2596129659324;9210.200083077025;82
client;random client 20;118.62208775347938;3478.1827925850907;118
client;random client 21;1914.6948723337875;8967.923958394935;113
client;random client 22;4251.962971990726;5707.29194129378;104
client;random client 23;5974.570445510719;8726.02892432832;112
client;random client 24;8712.998870793232;2978.3983048663645;109
client;random client 25;3382.116745414453;7920.06041439159;97
client;random client 26;7526.34113805666;961.2365880207562;120
client;random client 27;9038.786272926074;3765.1026082959506;97
client;random client 28;3654.6916393510432;5654.488048614528;87
client;random client 29;3438.0963428834098;1350.7932725002124;90
client;random client 30;2079.1483257036193;7763.499178737665;106
client;random client 31;6577.983559259786;4007.824000216852;118
client;random client 32;1048.2000718179595;2681.244718068715;92
client;random client 33;2645.6024398616273;1112.2986084831755;113
client;random client 34;1534.0844850473445;4251.929897009384;108
client;random client 35;2721.865445222832;5228.097279185064;115
client;random client 36;7376.964225010795;2601.257745545864;116
client;random client 37;5325.000389537024;6776.94073375528;86
client;random client 38;5200.152508415023;8761.026459865028;98
client;random client 39;1997.6151464579007;5709.235558901965;111
client;random client 40;2466.5661379129233;6237.178970074403;97
client;random client 41;1581.4865697544433;9231.788908086834;114
client;random client 42;7987.19606430994;2835.680865612332;87
client;random client 43;5598.556068670292;9153.536194410628;117
