Delivery optimization problem
type;identifier;x;y;demand
depot;Chatenay-Malabry;0;0
client;random client 1;-4274.75629217843;9468.027799295756;20
client;random client 2;-8374.260514257274;-8414.963927606877;83
client;random client 3;-1330.049133876375;3983.2317885433295;25
client;random client 4;8560.998680729735;467.4495690537333;61
client;random client 5;94.6864964669403;1749.6353201277561;31
client;random client 6;-6488.437165693344;-7505.904477334513;48
client;random client 7;2306.323716870689;-7229.376876762781;132
client;random client 8;-9070.077581449203;-6028.996959361914;86
client;random client 9;1313.8854286282512;-6937.396675020839;42
client;random client 10;9381.407635686617;-4609.61048967657;17
client;random client 11;9589.40926051489;4959.067559475618;30
client;random client 12;-2695.728020590378;-1188.14226021192;80
client;random client 13;-5012.895724779664;3042.0142488487127;76
client;random client 14;3647.258972878235;-5321.200095485521;135
client;random client 15;-7481.887221315796;208.32232808444496;41
client;random client 16;-7374.026985237614;9401.95838280475;45
client;random client 17;-6952.559872035214;9373.040051626758;31
client;random client 18;8326.462274803413;3692.219733077085;137
client;random client 19;900.3209720748509;9675.789579634718;132
client;random client 20;-9275.147640049265;-5720.022201517821;6
client;random client 21;305.211512209944;-8386.208279260192;126
client;random client 22;-4517.819173957416;1597.4488840907597;128
client;random client 23;-3769.106777934925;-97.69650691775314;40
client;random client 24;6078.9546467341825;3255.3505371784468;86
client;random client 25;5303.881709455918;8065.921615780982;89
client;random client 26;-5660.950054212089;9397.50833078062;69
client;random client 27;-2711.524942921701;-4941.518531105351;29
client;random client 28;-5446.429930305039;-2718.491180684501;55
client;random client 29;-9680.95736947573;-8327.917444517909;108
client;random client 30;-9373.461447352784;-6481.88168534231;49
client;random client 31;9224.119716804624;8247.559282773687;118
client;random client 32;-5197.280301295926;-4169.706717922357;20
client;random client 33;6570.54105365109;-6941.407116652205;54
client;random client 34;-3605.205654965007;8949.457728123376;24
client;random client 35;9839.138547012248;1567.2507598873617;69
client;random client 36;-8378.165726298568;-2950.254973791928;101
client;random client 37;2120.4908661452955;7003.420002219296;117
client;random client 38;5738.151226756618;2373.570324703209;130
client;random client 39;3170.282102885478;7770.013077092452;22
client;random client 40;-3281.143776080233;-5941.36591768272;43
client;random client 41;-7869.922719608584;1693.7041453297425;63
client;random client 42;8977.640733591972;3751.96345055856;46
client;random client 43;-946.6498840075747;-3326.0429421069857;58
client;random client 44;-6773.573076947765;2508.7055432340185;26
client;random client 45;-2776.266665528451;1716.9758228949995;81
client;random client 46;9348.015392417034;-4626.44127587557;66
client;random client 47;-8148.437002224764;-5988.857076487524;48
client;random client 48;-5019.66362785975;267.1744718441005;53
client;random client 49;6399.008568269852;389.5902324355957;95
client;random client 50;-2998.7044511352924;-6292.948736731827;81
client;random client 51;-5190.893279845929;-9138.742108900637;133
client;random client 52;-4944.374016350459;-4646.236385281722;13
client;random client 53;3956.2840474413515;4302.578861344977;43
client;random client 54;-973.0837352787421;5869.20199230943;71
client;random client 55;-5942.557404883517;-3645.3307954886304;7
client;random client 56;8186.569526655894;8943.64448315289;50
client;random client 57;-8386.46024782337;9765.701314536433;69
client;random client 58;-9573.84343308234;-4403.479148016296;101
client;random client 59;6820.339057154677;6961.931996779975;56
client;random client 60;505.1039814640517;360.82173667011557;113
client;random client 61;-9227.69614914251;268.94162401350513;9
client;random client 62;406.67451310032266;3333.0112245557502;134
client;random client 63;7856.765969490436;-6090.7101149735545;93
client;random client 64;-5598.315934868958;-6079.478331915769;9
client;random client 65;-5271.603014322092;-5476.29033412765;126
client;random client 66;-3257.0185148693854;4312.512243970497;57
client;random client 67;-4888.759611432872;-7036.124384210849;76
client;random client 68;-2366.9512461937;5729.780503768925;22
client;random client 69;-5162.0777625994615;-5183.531268683077;65
client;random client 70;-2983.4862947953698;-5757.182105518779;30
client;random client 71;-3792.5534461870593;-3121.025625401683;45
client;random client 72;-865.0302250749955;7451.664834208692;120
client;random client 73;9476.02275324865;9153.951720168694;21
client;random client 74;-4539.694023526633;9369.074129681263;102
client;random client 75;1566.4048599050147;-1894.8495699414898;59
client;random client 76;-5895.469612505269;5059.526082866123;128
client;random client 77;6712.434675858793;2503.6875783869946;55
client;random client 78;3673.882860026917;2022.4407698675168;121
client;random client 79;7870.8406512996335;2178.971708789517;83
client;random client 80;7981.6108072577845;3315.558308583095;74
client;random client 81;1543.9792013745518;-4461.3854648546485;75
client;random client 82;7427.059054115183;4916.652070457119;95
client;random client 83;166.0219002575759;-6520.573293896885;117
client;random client 84;5625.017258306694;9981.307917807928;69
client;random client 85;-5280.195770033416;-2557.6492303784808;63
client;random client 86;-2582.4110052429487;-5220.76175357338;12
client;random client 87;-4774.045661019802;1480.2758476475829;92
client;random client 88;4456.250684941941;4969.549684137704;97
client;random client 89;-6601.556167032534;-9282.897763063853;19
client;random client 90;-3301.706816244785;753.2988235719404;28
client;random client 91;-7569.497026144825;-5874.081205501955;77
client;random client 92;-6829.9953430496935;-2693.714497266422;108
client;random client 93;7062.9192238442265;-7075.178145371053;63
client;random client 94;2400.6980116884606;-1428.6473135386786;99
client;random client 95;-36.30348394396242;7350.263133028675;132
client;random client 96;4274.072264658989;-5304.603773738677;131
client;random client 97;530.4374902103045;5545.479769093437;122
client;random client 98;8304.519643966043;-3727.6211396961935;65
client;random client 99;9502.832483521895;8748.399166786523;75
client;random client 100;7405.307022529287;7309.645906984566;64
client;random client 101;-236.15510670755611;-2256.000786581656;91
client;random client 102;-67.36572670383612;-3119.5584377096;34
client;random client 103;8759.916258510177;1748.0829566799366;25
client;random client 104;-5567.669464772962;7356.681515299624;118
client;random client 105;-2263.31178056099;8084.335149702274;81
client;random client 106;-9705.066239133615;-537.545604815401;136
client;random client 107;-8904.047147686408;-95.84626942674731;116
client;random client 108;-8941.87646949358;9579.876474112607;24
client;random client 109;-1235.8198166943075;8036.069263464695;127
client;random client 110;6224.433131987849;-6773.365600767456;92
client;random client 111;-2500.838724662215;-9431.637680313712;130
client;random client 112;7009.277191618916;-8148.529786595124;108
client;random client 113;5201.730357944276;-4149.2774650475385;18
client;random client 114;1844.2482699629672;-426.45694818167794;104
client;random client 115;-4523.027522284519;1869.1657621172926;134
client;random client 116;4678.0000628585;-800.032066830634;111
client;random client 117;4142.266813003256;6215.946765470286;129
client;random client 118;-5083.252832944749;-7271.982742277399;113
client;random client 119;-2254.613922510591;9904.65851597321;133
client;random client 120;4259.135519262474;9944.461630775593;75
client;random client 121;8742.570417455838;2985.726654754868;34
client;random client 122;5901.539506413004;4244.394194168437;134
client;random client 123;-3560.484936732484;644.4000595163361;39
client;random client 124;-248.77053763166623;-7918.52443902241;15
client;random client 125;-5390.073575791994;-789.8943017585407;33
client;random client 126;-6320.401846244264;6516.698354315085;49
client;random client 127;-7813.945933405115;3678.127718470221;111
client;random client 128;7783.132614758633;783.0851224054932;138
client;random client 129;-9164.79332415657;-3321.86039327627;104
client;random client 130;-6784.913995930479;9468.190025159485;136
client;random client 131;-2872.07136910228;-2694.0199783991784;89
client;random client 132;-3007.050066333214;6918.346885493764;47
client;random client 133;6123.651605445539;9755.959798139731;111
client;random client 134;-2055.6000059836733;-4630.697673472675;29
client;random client 135;3801.581435029666;6610.473716484696;76
client;random client 136;1693.8158326475295;5027.903733129477;78
client;random client 137;2732.3764387345072;-2749.114316877166;50
client;random client 138;-9168.254920228628;-5906.177882901351;64
client;random client 139;5552.825983558972;1902.076345073201;79
client;random client 140;3513.617110518455;-8015.5897788125085;102
client;random client 141;-742.6376191235449;933.1049714423971;95
client;random client 142;714.3135836163128;-5256.795159178402;134
client;random client 143;5748.3732689948665;-1962.8063258981165;86
client;random client 144;8014.0450969503;-9041.876538236545;140
client;random client 145;965.4905835008285;6298.727541028293;129
client;random client 146;3471.2725831604675;-7234.015185164144;19
client;random client 147;4397.573325785164;-2105.096114537683;38
client;random client 148;-2416.706839767926;1489.919102933818;7
client;random client 149;8570.449686749045;-9023.407224577079;61
client;random client 150;-4716.941794816272;8553.104871176445;35
client;random client 151;-3828.562420810209;-3596.813001876054;118
client;random client 152;5564.000397842108;-8833.33194861826;34
client;random client 153;-1238.8293720015863;4935.011330416148;72
client;random client 154;2000.9633860397553;7670.509553414358;47
client;random client 155;-9936.24730227397;7896.160621565643;34
client;random client 156;7751.170234593272;-6917.810830884429;123
client;random client 157;1944.7158713723402;6382.581152529774;121
client;random client 158;-7093.437161801808;-8939.00177293282;110
client;random client 159;-2265.9459589780326;-5178.766636311129;65
client;random client 160;-8134.2992906199;-379.25583128046674;93
client;random client 161;5846.943792956694;-7543.436933299332;123
client;random client 162;1098.1022897299626;-8853.878372261595;32
client;random client 163;-7484.292477656016;-8666.873532228023;106
client;random client 164;-1460.3828638518662;-7530.852719345334;91
client;random client 165;7172.352553298024;2424.889017760257;72
client;random client 166;-2987.5943291050326;-4169.271390662601;28
client;random client 167;-6847.115581679283;3493.640823910413;70
client;random client 168;590.5873758168582;3629.2025661571097;124
client;random client 169;4337.8901277494915;9621.065698541912;61
client;random client 170;3517.7706519353633;7212.107879437692;91
client;random client 171;-8787.93936078245;-4845.27463002536;56
client;random client 172;-4897.13573308688;-5522.809383069316;83
client;random client 173;9328.883385869758;-4447.818333087274;23
client;random client 174;1775.9298779833334;5970.759207337791;97
client;random client 175;-5282.757170097953;9723.981294691803;11
client;random client 176;-901.0780066554289;-2379.695611439385;79
client;random client 177;-9311.696598927789;-6479.837307300569;104
client;random client 178;5406.132148320721;-3622.48603130815;27
client;random client 179;-9693.89896035856;-215.71833708397207;131
client;random client 180;-7702.8304913134125;-2421.652719164733;104
client;random client 181;-8995.883500923734;-4698.054760751902;41
client;random client 182;-1283.9994740683396;3610.1687300773992;5
client;random client 183;-2212.496715776837;8414.663142601741;71
client;random client 184;2607.024056436063;7161.843334874648;21
client;random client 185;-6282.874164734456;-4868.202124824359;126
client;random client 186;-1212.1454124308475;8011.804240439527;136
client;random client 187;-6306.507704428013;-4686.74744448627;121
client;random client 188;-8034.368478894747;-7481.345945897829;115
client;random client 189;-140.52479815568586;8667.546199240256;122
client;random client 190;-3230.740034390098;5565.723238992199;68
client;random client 191;-8599.180632113374;8309.305972035829;37
client;random client 192;3588.652751122434;-4176.2590963325665;70
client;random client 193;-2442.6469720297255;1899.6829467402258;120
client;random client 194;9554.463230349862;2710.207551755977;137
client;random client 195;-3083.559740762016;-2144.5007949150076;138
client;random client 196;-7515.237522139093;9532.365377655864;96
client;random client 197;-3400.4353914034073;3585.6124814432496;60
client;random client 198;3436.6185129784644;-6357.204854531932;16
client;random client 199;-6478.143267399208;-332.5504847503653;61
client;random client 200;-4380.622342012754;-685.5622411807035;46
client;random client 201;7494.064074627335;-611.0583177170611;105
client;random client 202;-8482.799392458124;-9329.55808886473;78
client;random client 203;-7122.804122147823;2960.882846979537;11
client;random client 204;8693.581751620746;1930.6797058386292;83
client;random client 205;-4363.716752370208;-1324.4043257388403;88
client;random client 206;-7300.54396252245;-3101.5898782089325;105
client;random client 207;-8500.870655620494;-8415.254295710121;67
client;random client 208;-5048.178967766079;-9958.664390721095;19
client;random client 209;-8989.199223798776;2095.445342698378;30
client;random client 210;-1995.583758648334;2089.761205978959;113
client;random client 211;1879.0781792674425;4560.697758204966;132
client;random client 212;2098.649817564732;-1693.094079947672;58
client;random client 213;95.31239885188916;9598.74948769739;30
client;random client 214;9745.910935584056;-4187.923704127079;50
client;random client 215;-7609.200416903743;1147.7789838550452;129
client;random client 216;-3640.9727350676976;3013.399894874965;89
client;random client 217;-7851.011936590613;1804.3301611353927;89
client;random client 218;6840.3797389360625;-8769.31245606436;108
client;random client 219;3192.5969517587637;4899.854037160072;93
client;random client 220;1268.0434271351423;-8679.126050181592;120
client;random client 221;5709.715042370446;-431.1033848654315;67
client;random client 222;3750.46624909833;-4483.4725694536055;25
client;random client 223;6120.9620069909415;-8493.885478838574;18
client;random client 224;-7455.653443356449;-6575.1278193264225;75
client;random client 225;-6738.2348861921055;-4068.9421235574;88
client;random client 226;2820.9842182435987;-7401.235522305685;114
client;random client 227;-9590.845071585647;8728.216313139397;96
client;random client 228;-9960.374649441894;8630.447881906683;8
client;random client 229;-5195.6916756839555;5434.893921235842;122
client;random client 230;6660.84951858531;-3927.353845649166;72
client;random client 231;9105.981285294827;-7010.141322562722;9
client;random client 232;-4114.755162795997;981.5123139074731;98
client;random client 233;-9943.744994880393;-819.4433530277383;50
client;random client 234;-501.3160951302325;-6782.009950148722;56
client;random client 235;5965.9864412524;-5642.862620209044;42
client;random client 236;6668.616861338374;6513.678877543138;51
client;random client 237;2939.246840636062;-8965.596991597804;51
client;random client 238;-5859.572326045979;3443.1463392176993;49
client;random client 239;-5615.382956601314;407.4402377673159;123
client;random client 240;-342.61700478468083;1968.3678515415431;125
client;random client 241;-8148.853611036728;6697.352929411925;34
client;random client 242;-2779.315642233105;4707.448142556821;12
client;random client 243;-3401.071221472278;3985.6881916958537;133
client;random client 244;7564.151085923335;9101.919987464404;31
client;random client 245;2128.8689682499753;8877.315668493437;116
client;random client 246;1218.2568392441844;679.4019071486182;12
client;random client 247;-3871.741986082946;-7622.615607482757;70
client;random client 248;-5060.296926120982;4533.523866750444;84
client;random client 249;-5651.573026312224;-397.0036526672411;84
client;random client 250;1839.4649878419514;-2885.2027693575246;37
